year,period,north,west,south
1980,1,0,0,0
1980,2,0,0,0
1981,1,0,0,0
1981,2,0,0,0
1982,1,0,0,0
1982,2,0,0,0
1983,1,0,0,0
1983,2,0,0,0
1984,1,0,0,0
1984,2,0,0,0
1985,1,0,0,0
1985,2,0,0,0
1986,1,0,0,0
1986,2,0,0,0
1987,1,7,28,1
1987,2,7,28,1
1988,1,6,27,2
1988,2,6,27,2
1989,1,8,36,2
1989,2,8,36,2
1990,1,3,12,1
1990,2,3,12,1
1991,1,3,12,0
1991,2,3,12,0
1992,1,2,10,1
1992,2,2,10,1
1993,1,2,10,1
1993,2,2,10,1
1994,1,3,12,1
1994,2,3,12,1
1995,1,4,10,0
1995,2,4,10,0
1996,1,5,9,3
1996,2,5,9,3
1997,1,1,13,0
1997,2,1,13,0
1998,1,1,13,0
1998,2,1,13,0
1999,1,1,18,2
1999,2,1,18,2
2000,1,1,20,0
2000,2,1,20,0
2001,1,0,24,3
2001,2,0,24,3
2002,1,1,22,6
2002,2,1,22,6
2003,1,0,20,13
2003,2,0,20,13
2004,1,0,30,2
2004,2,0,30,2
2005,1,0,29,2
2005,2,0,29,2
2006,1,1,31,5
2006,2,1,31,5
2007,1,0,34,3
2007,2,0,34,3
2008,1,0,18,19
2008,2,0,18,19
2009,1,1,30,2
2009,2,1,30,2
2010,1,4,34,8
2010,2,4,34,8
2011,1,0,42,6
2011,2,0,42,6
