Abalone_2,Cleaner fish_2,Giant kelp_2,Herbivorous fishes_2,Large invertebrate-eating fishes_2,Limpets_2,Omnivorous invertebrates_2,Planktivorous fishes_2,Predatory invertebrates_2,Small invertebrate-eating fishes_2,Small piscivorous fishes_2,Snails_2,Understory kelp_2,Urchins_2,Abalone_3,Cleaner fish_3,Giant kelp_3,Herbivorous fishes_3,Large invertebrate-eating fishes_3,Limpets_3,Omnivorous invertebrates_3,Planktivorous fishes_3,Predatory invertebrates_3,Small invertebrate-eating fishes_3,Small piscivorous fishes_3,Snails_3,Understory kelp_3,Urchins_3,Abalone_7,Cleaner fish_7,Giant kelp_7,Herbivorous fishes_7,Large invertebrate-eating fishes_7,Limpets_7,Omnivorous invertebrates_7,Planktivorous fishes_7,Predatory invertebrates_7,Small invertebrate-eating fishes_7,Small piscivorous fishes_7,Snails_7,Understory kelp_7,Urchins_7,Abalone_1,Cleaner fish_1,Giant kelp_1,Herbivorous fishes_1,Large invertebrate-eating fishes_1,Limpets_1,Omnivorous invertebrates_1,Planktivorous fishes_1,Predatory invertebrates_1,Small invertebrate-eating fishes_1,Small piscivorous fishes_1,Snails_1,Understory kelp_1,Urchins_1,Abalone_4,Cleaner fish_4,Giant kelp_4,Herbivorous fishes_4,Large invertebrate-eating fishes_4,Limpets_4,Omnivorous invertebrates_4,Planktivorous fishes_4,Predatory invertebrates_4,Small invertebrate-eating fishes_4,Small piscivorous fishes_4,Snails_4,Understory kelp_4,Urchins_4,Abalone_5,Cleaner fish_5,Giant kelp_5,Herbivorous fishes_5,Large invertebrate-eating fishes_5,Limpets_5,Omnivorous invertebrates_5,Planktivorous fishes_5,Predatory invertebrates_5,Small invertebrate-eating fishes_5,Small piscivorous fishes_5,Snails_5,Understory kelp_5,Urchins_5,Abalone_6,Cleaner fish_6,Giant kelp_6,Herbivorous fishes_6,Large invertebrate-eating fishes_6,Limpets_6,Omnivorous invertebrates_6,Planktivorous fishes_6,Predatory invertebrates_6,Small invertebrate-eating fishes_6,Small piscivorous fishes_6,Snails_6,Understory kelp_6,Urchins_6
NA,NA,-2.040220829,NA,NA,-2.659260037,0.824175443,NA,-1.272965676,NA,NA,NA,-1.660731207,2.716679528,NA,NA,-1.237874356,NA,NA,-3.218875825,-0.248461359,NA,-1.108662625,NA,NA,-4.605170186,1.818076778,1.809926773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.605170186,NA,-1.771956842,NA,NA,NA,-0.385662481,NA,-1.386294361,NA,NA,-1.386294361,0.418710335,1.342864803,-4.605170186,NA,-1.660731207,NA,NA,-4.605170186,0.39877612,NA,-1.609437912,NA,NA,NA,0.657520003,1.60743591,-1.897119985,NA,-0.798507696,NA,NA,NA,-0.385662481,NA,-1.386294361,NA,NA,-3.912023005,-0.400477567,1.458615023,NA,NA,-0.967584026,NA,NA,NA,0.058268908,NA,-3.912023005,NA,NA,-2.207274913,0.593326845,1.788420568
NA,NA,-2.995732274,NA,NA,-2.995732274,0.862889955,NA,-1.386294361,NA,NA,-3.912023005,1.121677562,2.386926241,NA,NA,-1.897119985,NA,NA,-3.218875825,-0.020202707,NA,-1.139434283,NA,NA,NA,1.975468951,2.246014742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.207274913,NA,NA,NA,-0.494296322,NA,-2.659260037,NA,NA,-0.867500568,2.102913898,1.366091654,-4.605170186,NA,-2.407945609,NA,NA,-3.506557897,0.783901544,NA,-1.139434283,NA,NA,NA,0.963174318,2.22028985,-1.771956842,NA,-1.347073648,NA,NA,-2.813410717,0.21511138,NA,-1.46967597,NA,NA,-3.912023005,1.570697084,1.711994501,-4.605170186,NA,-0.84397007,NA,NA,NA,-0.198450939,NA,-2.207274913,NA,NA,-1.771956842,1.00063188,2.144761008
NA,-1.010601411,-0.356674944,-3.417326764,-5.744604469,-3.912023005,0.854415328,-2.361156269,-1.771956842,-2.80750228,-3.547379892,NA,1.816452082,2.375835555,NA,-0.706029806,-1.30933332,-3.393229212,-6.032286542,-4.605170186,0.19062036,-3.598023625,-1.078809661,-3.545837871,-3.978637755,NA,1.845300236,2.265921109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.635633274,-0.301105093,-5.521460918,-5.184988681,-4.605170186,-0.776528789,-4.441540762,-2.813410717,-2.823835234,-4.347947321,-1.897119985,1.678963975,0.688134639,NA,-0.109814866,-0.562118918,-2.787093408,-5.339139361,NA,0.300104592,-1.899196213,-1.171182982,-1.706928245,-2.002315905,-3.912023005,0.076961041,2.021547563,-1.832581464,-1.62964062,-0.314710745,-3.259697819,-3.912023005,-3.912023005,-0.385662481,-1.712825068,-1.272965676,-2.090345216,-2.376351243,-3.218875825,1.223775432,1.280933845,-3.912023005,-3.835061964,-0.867500568,-7.13089883,-4.565949473,NA,-0.478035801,-5.926926026,NA,-3.413269963,-4.528209145,-2.995732274,1.360976553,2.374905755
NA,-0.780013114,-0.510825624,-4.491841501,-7.13089883,-3.218875825,0.518793793,-3.737136427,-1.347073648,-3.309530193,-4.472194503,-3.912023005,1.644805056,2.337952237,-4.605170186,0.178313535,-0.820980552,-5.744604469,-5.744604469,-3.912023005,-0.46203546,-4.774246516,-1.30933332,-3.32794692,-3.964486575,-4.605170186,1.818076778,2.219203484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.242326371,-0.597837001,-5.521460918,-4.565949473,-3.912023005,-0.967584026,-2.291535257,-4.605170186,-3.966831242,-3.794733919,-1.108662625,1.656321498,1.297463147,-3.506557897,-0.342490309,-0.544727175,-2.796881415,-5.80914299,-3.912023005,0.246860078,-2.044074398,-1.049822124,-2.099644249,-2.239610294,NA,0.609765572,1.78339122,-2.040220829,-2.302585093,-0.46203546,-3.218875825,-3.872802292,-3.218875825,-0.544727175,-1.723727059,-2.120263536,-2.505381503,-2.810452135,-4.605170186,0.343589704,1.432700734,-4.605170186,-4.039856377,-0.755022584,-6.43775165,-4.565949473,-4.605170186,-0.733969175,-5.521460918,-3.506557897,-3.450387626,-4.636775525,-2.659260037,1.319085611,1.961502244
NA,-2.318714475,-0.328504067,-4.733003557,-5.521460918,-3.506557897,-0.301105093,-4.422848629,-1.386294361,-3.218875825,-4.733003557,NA,1.752672081,2.504709277,NA,-2.80016549,-0.562118918,-5.184988681,-6.43775165,-4.605170186,-1.966112856,-4.528209145,-1.171182982,-3.10554714,-4.122744037,-4.605170186,2.339880878,2.560323289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.053361386,-0.798507696,-5.521460918,-4.358310108,-3.506557897,-1.714798428,-3.417326764,-3.912023005,-2.810082927,-3.634391269,-1.078809661,1.793424749,1.266947603,-3.506557897,-1.127011763,-0.776528789,-3.417326764,-5.521460918,-4.605170186,-0.174353387,-2.267217949,-1.347073648,-1.74869998,-2.271086426,-4.605170186,0.824175443,2.051556338,-2.120263536,-1.492544161,-0.916290732,-3.442019376,-4.039856377,-4.605170186,0.431782416,-2.068303797,-1.714798428,-1.769606665,-2.121931593,-2.813410717,1.196948189,1.581038438,-3.912023005,-0.458865885,-0.916290732,-5.184988681,-4.422848629,NA,-1.514127733,-3.096658192,NA,-2.304587096,-3.772261063,-1.660731207,1.642872689,2.473171394
NA,-0.896488105,-0.916290732,-4.422848629,-5.521460918,-2.995732274,-1.347073648,-4.160484365,-1.514127733,-3.324236341,-4.110473944,-4.605170186,2.135349174,2.277267285,NA,-1.008406021,-1.237874356,-4.358310108,-6.032286542,-3.506557897,-1.386294361,-4.733003557,-1.237874356,-3.399199379,-4.645992181,NA,1.922787732,2.377692565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.141914784,-2.302585093,-3.872802292,-4.491841501,-4.605170186,-0.693147181,-4.439655748,-2.813410717,-3.705008836,-4.374058465,-1.237874356,1.961502244,1.722766598,-2.813410717,-0.699567748,-1.427116356,-3.324236341,-4.297685486,-4.605170186,-0.328504067,-2.02798826,-1.272965676,-2.161085531,-2.73029581,-4.605170186,0.737164066,2.112634509,-2.813410717,-1.217395825,-0.820980552,-2.774190004,-3.729701449,-3.912023005,-0.371063681,-1.344768614,-1.386294361,-2.267217949,-2.975929646,-3.912023005,0.300104592,1.490654376,-4.094344562,-1.139434283,-2.302585093,-4.297685486,-3.696911626,NA,-1.609437912,-3.264919763,-3.401197382,-2.770990001,-4.006333685,-1.386294361,1.280933845,2.745131876
NA,0.039220713,-1.203972804,-3.729701449,-4.933674253,-3.912023005,-2.525728644,-3.358137892,-1.272965676,-2.73029581,-4.240527072,NA,2.532902848,2.540025949,NA,-0.693147181,-1.427116356,-3.493312671,-5.051457289,-3.218875825,-1.771956842,-2.403511012,-1.714798428,-3.423442991,-4.358310108,-3.218875825,2.813610697,2.590017134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.152013065,0.418710335,NA,-5.184988681,-3.912023005,-1.139434283,-1.57987911,NA,-3.393229212,-4.160484365,-0.994252273,2.180417459,1.064710737,-4.605170186,-2.26336438,-0.510825624,-3.493312671,-3.763603,NA,-1.049822124,-1.576003136,-1.427116356,-1.937941979,-2.061994628,NA,2.609334228,1.968509981,-3.218875825,-2.748872196,-0.46203546,-2.987764104,-3.995404614,-2.659260037,-1.714798428,-1.119631656,-1.966112856,-2.278868566,-2.840439389,-4.605170186,2.403334996,1.515127233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.993171776,0.438254931,-7.13089883,-4.645992181,-3.401197382,-0.628608659,-3.506557897,-4.094344562,-4.66704559,-5.472670754,-0.916290732,1.442989705,1.485385264,NA,NA,0.779324877,NA,NA,-3.506557897,-0.867500568,NA,-1.427116356,NA,NA,NA,1.463255402,1.86872051,NA,-3.324236341,0.457424847,-3.634391269,-3.79869432,-3.218875825,-2.302585093,-1.053256587,-2.207274913,-4.135166557,-4.491841501,-2.995732274,1.854734268,1.289232648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-2.724179583,-1.139434283,-3.835061964,-4.422848629,-2.120263536,-1.272965676,-2.826833737,-4.605170186,-2.840439389,-3.053361386,-2.813410717,2.340843805,2.608598122,NA,-3.324236341,-0.916290732,-3.575550769,-4.645992181,-2.995732274,-3.506557897,-2.278868566,NA,-2.715074816,-2.244316185,-3.218875825,2.451005098,2.60046499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.899790213,-0.755022584,-6.032286542,-5.521460918,NA,-1.714798428,-3.313186504,NA,-3.244193633,-3.375529635,-0.210721031,1.581038438,0.802001585,-4.605170186,-1.714798428,-0.478035801,-3.393229212,-3.020024966,-2.813410717,-1.427116356,-2.113618993,-2.207274913,-1.638866723,-1.655481851,NA,-0.693147181,2.080690761,NA,-3.036554268,-0.446287103,-3.729701449,-3.259697819,-2.995732274,-2.659260037,-1.815232825,-2.659260037,-1.667067025,-1.521427035,-3.506557897,-0.15082289,1.549687908,-4.382026635,-3.872802292,-1.437587656,-5.339139361,-4.135166557,NA,NA,-5.626821434,-4.382026635,-2.783851915,-3.902072675,-3.283414346,1.446918983,2.111727205
NA,-7.13089883,-1.771956842,-4.933674253,-4.086376393,-2.302585093,-2.813410717,-2.472187877,-2.207274913,-3.79869432,-3.746508567,-1.771956842,1.902107526,2.752386015,NA,-3.259697819,-1.897119985,-4.645992181,-5.051457289,-3.506557897,-1.660731207,-3.324236341,-3.506557897,-4.546901278,-4.509860006,-1.832581464,2.431857429,3.064791809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.353246507,-1.30933332,-5.744604469,-4.422848629,-4.605170186,-0.94160854,-3.381394754,-3.506557897,-3.48675527,-4.254513314,-0.328504067,1.568615918,2.055404964,-4.605170186,-2.024953356,-1.30933332,-2.403511012,-3.003764445,-3.506557897,-0.527632742,-1.921412677,-1.966112856,-2.131998792,-3.228926161,NA,-1.427116356,2.344686269,-2.207274913,NA,-0.994252273,-3.087847562,-3.575550769,-2.659260037,-1.560647748,-1.440539376,-2.407945609,-2.412399959,-2.347582459,-4.605170186,-1.46967597,1.625311262,-4.382026635,-3.003764445,-1.337504197,-6.032286542,-4.039856377,NA,-3.283414346,-2.561355822,NA,-3.101092789,-4.406319327,-1.817077277,1.042923383,1.994700313
