,station,g1,g2,P1,P2
1,2,0.536716247,-0.425421783,1.216300168,1.462526308
2,2,1.194875482,-0.74346142,1.094526077,0.989434354
3,2,1.672715071,-0.016135003,0.82849985,0.846849342
4,2,2.084152513,-0.135731477,1.23138337,1.404130157
5,2,1.135259686,-0.837219254,1.128315912,1.889745655
6,2,0.219354312,-0.255708831,1.086947372,1.768639352
7,2,-0.979751035,-0.359934286,0.304195409,0.603211934
8,2,-1.665374787,-0.098271001,-0.837338722,-0.356987353
9,2,-0.79437301,0.733792127,-1.354840156,-0.633269732
10,2,0.492576089,0.352467939,-1.790266025,-1.13670848
11,2,0.460683324,0.307548958,-1.736944987,-1.814976226
12,2,1.982562956,-0.211331639,-1.547060614,-1.025674362
13,2,2.119362356,0.087717945,-0.188770828,1.145985508
14,2,1.986343876,0.127143364,1.338803037,0.246233353
15,2,-0.148140429,0.806207316,0.656719404,0.629054614
16,2,-0.083963935,0.506543709,0.605189454,0.763101196
17,2,1.383413111,-0.638278747,0.270390716,0.552437121
18,2,0.46354008,-1.076498819,-0.248827895,-0.415921298
19,2,1.819233771,-0.933585464,-0.637799806,-0.853577856
20,2,1.615630612,-0.503137795,0.184562057,0.166858938
21,2,1.189298585,-0.542285815,0.499325175,0.244200366
22,2,1.21065893,0.201095248,0.793280383,0.738782933
23,2,-0.129677031,-0.047997049,1.254050162,0.566807114
24,2,-0.629211427,-0.092923592,-0.34362772,0.127038795
25,2,-0.356028838,-1.188653125,0.412566971,-0.687154078
26,2,-0.56176233,-1.535961415,0.704716139,0.121021429
27,2,-0.042328591,-0.463396405,-0.353353935,-0.714549053
28,2,0.169723573,0.539951759,-0.627525094,-0.593411607
29,2,0.018652689,0.248222382,0.980501796,0.72612707
30,2,0.386319434,1.212343393,1.357913075,0.870890555
31,2,-0.642293506,0.684290602,2.151584929,0.218458169
32,2,-0.101438314,-0.748541502,0.489680658,-0.966851597
33,2,0.119364852,-0.558972272,0.552855486,0.197625034
34,2,-0.388901437,-0.595195402,0.022744413,0.510592203
35,2,0.209734369,-1.207438595,0.364259381,0.501774838
36,2,0.085243492,-0.709424973,-0.194012358,-0.4396564
37,2,1.488823176,-0.915384486,-0.249219171,0.407909596
38,2,0.996743034,-0.250756845,0.609077562,0.491010562
39,2,2.380894012,-0.103082024,0.359158756,0.025029274
40,2,2.793516186,-0.430403803,1.101215867,0.177412363
41,2,1.376681849,-0.300947772,2.450344157,0.006542447
42,2,0.666519148,-0.309002918,3.105087739,-0.014332322
43,2,0.493913169,0.060490015,1.767704925,1.114794567
44,2,0.260144083,-0.623969699,2.202758116,0.786431219
45,2,-0.898686026,-0.700018741,0.929952174,0.77673881
46,2,-1.923535042,-1.026217147,0.218749836,1.14522864
47,2,-1.512216761,-0.597414746,-1.428193408,-0.191879029
48,2,-0.667437624,-0.15491779,-2.155209731,0.221611557
49,2,0.205186698,-0.392888841,-0.99103783,0.219578828
50,2,0.816791505,-0.299978981,-1.037472064,0.54698688
51,2,1.909598104,0.089244768,-1.648602133,0.156481894
52,2,2.323732033,-0.706960492,-0.014445035,0.184549089
53,2,2.313969965,0.213675791,0.619398281,0.300267443
54,2,1.266615862,0.373464011,0.194216954,0.611479269
55,2,1.815899805,-0.347810515,1.053782548,0.561262862
56,2,0.910047835,-0.124812984,1.822499067,0.77785156
57,2,-0.435246475,-0.386258693,0.856553406,0.806819229
58,2,-0.755634098,0.061206048,0.392816079,0.530719606
59,2,-0.600891409,-0.580844809,1.166434251,0.374701839
60,2,-0.174921835,0.039304724,1.329498681,-0.04309394
61,2,-0.398115706,0.820198085,1.297610565,0.337551821
62,2,-0.279641524,0.191838067,1.186883793,0.859208981
63,2,-0.195167515,-0.112238936,1.940221653,0.188010489
64,2,-0.281006347,-0.545827769,1.303004597,-0.37710083
65,2,-0.40814368,0.82789236,0.544512069,-0.24716856
66,2,0.12812201,0.180583857,-0.158282216,-0.055073624
67,2,1.293800063,0.35811951,0.918198142,0.943039188
68,2,1.117997665,-0.388673998,0.684971926,0.170070871
69,2,0.495648605,-0.081943787,1.260364594,0.065501354
70,2,-0.26471416,-0.213240427,0.863944047,1.448415204
71,2,-0.561323586,-0.961565394,0.245418694,0.305803754
72,2,-0.697980781,-0.893663059,-0.056828081,-0.47072722
73,2,-0.671079914,-0.687882776,-0.802701714,-0.469054436
74,2,-0.193969018,0.359200802,-0.389199581,-0.72655502
75,2,0.578457828,0.735953272,-0.344318705,-0.2552519
76,2,1.763898625,0.815709698,-0.26831762,0.087976297
77,2,1.762075626,0.066649585,0.816643618,0.30272267
78,2,1.38443499,0.245059346,1.159848757,-0.06181017
79,2,0.670551735,0.104733709,0.89650311,-0.540068166
80,2,1.888804717,0.645140629,0.637898143,-0.09912323
81,2,1.522475366,-0.225681043,1.203013691,-0.213620724
82,2,1.262665839,0.193495543,0.982687767,0.584285192
83,2,0.519074056,0.631062928,0.723348863,0.627989852
84,2,0.901630823,-0.003771698,1.319271944,1.094398491
85,2,0.6632823,-0.351380938,1.133609792,0.173987607
86,2,0.625607916,0.886326702,0.416116605,-0.744650666
87,2,1.146843102,0.642441655,0.995587182,-0.397498776
88,2,0.843903762,-0.450289175,2.569511724,-0.009258352
89,2,1.164802403,-1.201719127,2.087162868,0.574511543
90,2,1.586975872,-1.590933263,1.087542163,0.626127711
91,2,0.926328168,-0.368456769,0.238233399,-0.400604451
92,2,0.332947518,-0.77405339,1.051654198,1.030417682
93,2,0.141651655,-1.7107711,0.545945349,0.353865648
94,2,-0.223089712,-2.608814527,-0.287991481,0.942552987
95,2,0.133091976,-2.326613938,-0.863748164,0.156351966
96,2,-0.170246166,-0.574048862,-1.283942417,0.467343342
97,2,0.67249377,-0.439775318,-0.77807734,1.340926686
98,2,0.416991323,-0.275479178,-0.57116828,0.694233328
99,2,-0.674551774,0.38229395,-0.341953063,0.776294772
100,2,0.854677928,0.423687893,-0.514330555,0.103423106
101,2,0.836568754,0.543670738,-0.700933569,0.922402005
102,2,0.514436983,-0.268069269,1.207708085,1.83832749
103,2,-0.192446193,0.308335861,1.358653642,1.491172675
