SpeciesCode,SpeciesName,DataSet,CommonName,guild
81,Haliotis corrugata,Benthic density,pink abalone,Abalone
82,Haliotis rufescens,Benthic density,red abalone,Abalone
589,Macrocystis pyrifera >1m,Benthic density,lg giant kelp,Giant kelp
85,Megathura crenulata,Benthic density,great keyhole limpet,Limpets
24,Patiria miniata,Benthic density,bat star,Omnivorous invertebrates
89,Parastichopus parvimensis,Benthic density,warty sea cucumber,Omnivorous invertebrates
67,Astrometis sertulifera,Benthic density,fragile rainbow star,Predatory invertebrates
92,Pisaster giganteus,Benthic density,giant sea star,Predatory invertebrates
75,Dermasterias imbricata,Benthic density,leather star,Predatory invertebrates
152,Pycnopodia helianthoides,Benthic density,sunflower sea star,Predatory invertebrates
66,Megastraea undosa,Benthic density,sea snail,Snails
553,Cystoseira osmundacea,Benthic density,bladder leaf,Understory kelp
556,Laminaria spp.,Benthic density,kelp,Understory kelp
558,Young laminariales,Benthic density,kelp,Understory kelp
574,Eisenia arborea,Benthic density,sea palm,Understory kelp
557,Macrocystis pyrifera <1m,Benthic density,sm giant kelp,Understory kelp
575,Pterygophora californica,Benthic density,stalked kelp,Understory kelp
30,Strongylocentrotus purpuratus,Benthic density,purple sea urchin,Urchins
29,Strongylocentrotus franciscanus,Benthic density,red sea urchin,Urchins
1062,Gymnothorax mordax,Benthic fish density,moray,Large invertebrate-eating fishes
1048,Squatina californica,Benthic fish density,angelshark,Large piscivorous fishes
1003,Chromis punctipinnis,Benthic fish density,blacksmith,Planktivorous fishes
1047,Myliobatis californica,Benthic fish density,bat ray,Small invertebrate-eating fishes
1042,Rhinogobiops nicholsii,Benthic fish density,blackeye goby,Small invertebrate-eating fishes
1040,Neoclinus spp.,Benthic fish density,blenny,Small invertebrate-eating fishes
1041,Lythrypnus dalli,Benthic fish density,blue-banded goby,Small invertebrate-eating fishes
1045,Pleuronichthys coenosus,Benthic fish density,C-O sole,Small invertebrate-eating fishes
1038,Gibbonsia spp.,Benthic fish density,clinid,Small invertebrate-eating fishes
1002,Hypsypops rubicundus,Benthic fish density,garibaldi,Small invertebrate-eating fishes
1039,Heterostichus rostratus,Benthic fish density,giant kelpfish,Small invertebrate-eating fishes
1034,Hexagrammos spp.,Benthic fish density,greenling,Small invertebrate-eating fishes
1030,Leiocottus hirundo,Benthic fish density,lavender sculpin,Small invertebrate-eating fishes
1053,Cebidichthys violaceus,Benthic fish density,monkeyface prickleback,Small invertebrate-eating fishes
1036,Oxylebius pictus,Benthic fish density,painted greenling,Small invertebrate-eating fishes
1032,Orthonopias spp.,Benthic fish density,snubnose sculpin,Small invertebrate-eating fishes
1043,Lythrypnus zebra,Benthic fish density,zebra goby,Small invertebrate-eating fishes
1020,Sebastes chrysomelas,Benthic fish density,black-and-yellow rockfish,Small piscivorous fishes
1011,Sebastes auriculatus,Benthic fish density,brown rockfish,Small piscivorous fishes
1029,Scorpaenichthys marmoratus,Benthic fish density,cabezon,Small piscivorous fishes
1017,Sebastes caurinus,Benthic fish density,copper rockfish,Small piscivorous fishes
1052,Citharichthys spp.,Benthic fish density,flounder,Small piscivorous fishes
1012,Sebastes carnatus,Benthic fish density,gopher rockfish,Small piscivorous fishes
1016,Sebastes rastrelliger,Benthic fish density,grass rockfish,Small piscivorous fishes
1014,Sebastes atrovirens,Benthic fish density,kelp rockfish,Small piscivorous fishes
1035,Ophiodon elongatus,Benthic fish density,lingcod,Small piscivorous fishes
1051,Sebastes spp.,Benthic fish density,rockfish,Small piscivorous fishes
1021,Scorpaena guttata,Benthic fish density,scorpionfish,Small piscivorous fishes
1031,Artedius spp.,Benthic fish density,sculpin,Small piscivorous fishes
1049,Cephaloscyllium ventriosum,Benthic fish density,swellshark,Small piscivorous fishes
1019,Sebastes serriceps,Benthic fish density,treefish,Small piscivorous fishes
1018,Sebastes miniatus,Benthic fish density,vermilion rockfish,Small piscivorous fishes
1009,Oxyjulis californica,Midwater fish density,senorita,Cleaner fish
1013,Sebastes mystinus,Midwater fish density,blue rockfish,Herbivorous fishes
1005,Girella nigricans,Midwater fish density,opaleye,Herbivorous fishes
1006,Semicossyphus pulcher (f),Midwater fish density,sheephead,Large invertebrate-eating fishes
1008,Semicossyphus pulcher (m),Midwater fish density,sheephead,Large invertebrate-eating fishes
1046,Torpedo californica,Midwater fish density,electric ray,Large piscivorous fishes
1061,Stereolepis gigas,Midwater fish density,giant sea bass,Large piscivorous fishes
1054,Triakis semifasciata,Midwater fish density,leopard shark,Large piscivorous fishes
1037,Trachurus symmetricus,Midwater fish density,jack mackerel,Piscivorous fishes - pelagic
1003,Chromis punctipinnis,Midwater fish density,blacksmith,Planktivorous fishes
1060,Syngnathus spp.,Midwater fish density,pipefish,Planktivorous fishes
1059,Cymatogaster aggregata,Midwater fish density,shiner perch,Planktivorous fishes
1023,Embiotoca lateralis,Midwater fish density,surfperch,Planktivorous fishes
1056,Atherinops affinis,Midwater fish density,topsmelt,Planktivorous fishes
1044,Aulorhynchus flavidus,Midwater fish density,tube-snout,Planktivorous fishes
1047,Myliobatis californica,Midwater fish density,bat ray,Small invertebrate-eating fishes
1022,Embiotoca jacksoni,Midwater fish density,black perch,Small invertebrate-eating fishes
1002,Hypsypops rubicundus,Midwater fish density,garibaldi,Small invertebrate-eating fishes
1039,Heterostichus rostratus,Midwater fish density,giant kelpfish,Small invertebrate-eating fishes
1004,Medialuna californiensis,Midwater fish density,halfmoon,Small invertebrate-eating fishes
1027,Brachyistius frenatus,Midwater fish density,kelp perch,Small invertebrate-eating fishes
1024,Rhacochilus vacca,Midwater fish density,pile perch,Small invertebrate-eating fishes
1025,Hypsurus caryi,Midwater fish density,rainbow seaperch,Small invertebrate-eating fishes
1010,Halichoeres semicinctus,Midwater fish density,rock wrasse,Small invertebrate-eating fishes
1026,Rhacochilus toxotes,Midwater fish density,rubberlip seaperch,Small invertebrate-eating fishes
1055,Hyperprosopon anale,Midwater fish density,spotfin surfperch,Small invertebrate-eating fishes
1058,Sebastes paucispinis,Midwater fish density,bocaccio,Small piscivorous fishes
1001,Paralabrax clathratus,Midwater fish density,kelp bass,Small piscivorous fishes
1014,Sebastes atrovirens,Midwater fish density,kelp rockfish,Small piscivorous fishes
1033,Caulolatilus princeps,Midwater fish density,ocean whitefish,Small piscivorous fishes
1015,Sebastes serranoides,Midwater fish density,olive rockfish,Small piscivorous fishes
1051,Sebastes spp.,Midwater fish density,rockfish,Small piscivorous fishes
1028,Phanerodon furcatus,Midwater fish density,white seaperch,Small piscivorous fishes
