yr,period,sum
1980,2,32.4
1981,1,101.1
1981,2,99.8
1982,1,3.6
1982,2,5.2
1983,1,0.0
1983,2,0.0
1984,1,172.1
1984,2,101.8
1985,1,371.1
1985,2,156.3
1986,1,603.3
1986,2,418.5
1987,1,816.9
1987,2,624.4
1988,1,1061.9
1988,2,476.4
1989,1,89.9
1989,2,94.3
1990,1,88.3
1990,2,297.8
1991,1,911.3
1991,2,544.6
1992,1,524.6
1992,2,244.6
1993,1,261.1
1993,2,331.1
1994,1,289.1
1994,2,363.8
1995,1,591.3
1995,2,618.5
1996,1,667.8
1996,2,203.5
1997,1,276.5
1997,2,294.0
1998,1,302.7
1998,2,190.2
1999,1,291.7
1999,2,270.0
2000,1,449.5
2000,2,62.0
2001,1,102.9
2001,2,34.9
2002,1,111.3
2002,2,55.2
2003,1,83.5
2003,2,85.8
2004,1,92.3
2004,2,13.1
2005,1,102.7
2005,2,30.8
2006,1,63.7
2006,2,162.9
2007,1,74.4
2007,2,268.3
2008,1,19.8
2008,2,54.5
2009,1,26.3
2009,2,12.3
2010,1,23.4
2010,2,60.1
2011,1,31.0
2011,2,22.3
